dataset,condition,method,f1_clean,f1_noisy,rel_drop_pct
drybean,pairflip_40,ET,0.9266,0.8015,13.5
drybean,pairflip_40,Voting,0.9383,0.8138,13.27
drybean,pairflip_40,PlainStack,0.9383,0.8025,14.47
drybean,pairflip_40,DAS,0.9375,0.8024,14.41
drybean,pairflip_40,CL_XGB,0.9373,0.8711,7.06
drybean,pairflip_40,GCE_XGB,0.9381,0.8078,13.89
fmnist,symmetric_40,RF,0.8609,0.8553,0.65
fmnist,symmetric_40,XGB,0.8965,0.8687,3.1
fmnist,symmetric_40,ET,0.8604,0.8535,0.8
fmnist,symmetric_40,Voting,0.892,0.873,2.13
fmnist,symmetric_40,PlainStack,0.8932,0.8721,2.36
fmnist,symmetric_40,DAS,0.8939,0.8727,2.37
fmnist,symmetric_40,CL_XGB,0.8879,0.871,1.9
fmnist,symmetric_40,GCE_XGB,0.8958,0.8602,3.97
fmnist,asymmetric_40,RF,0.8609,0.8069,6.27
fmnist,asymmetric_40,XGB,0.8965,0.7075,21.08
fmnist,asymmetric_40,ET,0.8604,0.809,5.97
fmnist,asymmetric_40,Voting,0.892,0.7653,14.2
fmnist,asymmetric_40,PlainStack,0.8932,0.7546,15.52
fmnist,asymmetric_40,DAS,0.8939,0.7583,15.17
fmnist,asymmetric_40,CL_XGB,0.8879,0.8553,3.67
fmnist,asymmetric_40,GCE_XGB,0.8958,0.7053,21.27
fmnist,pairflip_40,RF,0.8609,0.8141,5.44
fmnist,pairflip_40,XGB,0.8965,0.7843,12.52
fmnist,pairflip_40,ET,0.8604,0.8116,5.67
fmnist,pairflip_40,Voting,0.892,0.8079,9.43
fmnist,pairflip_40,PlainStack,0.8932,0.8432,5.6
fmnist,pairflip_40,DAS,0.8939,0.8387,6.18
fmnist,pairflip_40,CL_XGB,0.8879,0.8553,3.67
fmnist,pairflip_40,GCE_XGB,0.8958,0.7819,12.71
har,symmetric_40,RF,0.9702,0.9613,0.92
har,symmetric_40,XGB,0.9882,0.9445,4.42
har,symmetric_40,ET,0.9787,0.9633,1.57
har,symmetric_40,Voting,0.9858,0.9659,2.02
har,symmetric_40,PlainStack,0.9883,0.9614,2.72
har,symmetric_40,DAS,0.9873,0.9616,2.6
har,symmetric_40,CL_XGB,0.9883,0.9657,2.29
har,symmetric_40,GCE_XGB,0.9877,0.9375,5.08
har,asymmetric_40,RF,0.9702,0.8041,17.12
har,asymmetric_40,XGB,0.9882,0.7258,26.55
har,asymmetric_40,ET,0.9787,0.7908,19.2
har,asymmetric_40,Voting,0.9858,0.7685,22.04
har,asymmetric_40,PlainStack,0.9883,0.8475,14.25
har,asymmetric_40,DAS,0.9873,0.8504,13.87
har,asymmetric_40,CL_XGB,0.9883,0.8788,11.08
har,asymmetric_40,GCE_XGB,0.9877,0.7314,25.95
har,pairflip_40,RF,0.9702,0.8617,11.18
har,pairflip_40,XGB,0.9882,0.8049,18.55
har,pairflip_40,ET,0.9787,0.8526,12.88
har,pairflip_40,Voting,0.9858,0.8297,15.83
har,pairflip_40,PlainStack,0.9883,0.8521,13.78
har,pairflip_40,DAS,0.9873,0.8516,13.74
har,pairflip_40,CL_XGB,0.9883,0.8973,9.21
har,pairflip_40,GCE_XGB,0.9877,0.8108,17.91
isolet,symmetric_40,RF,0.9354,0.9252,1.09
isolet,symmetric_40,XGB,0.9439,0.9149,3.07
isolet,symmetric_40,ET,0.9444,0.9333,1.18
isolet,symmetric_40,Voting,0.9482,0.9361,1.28
isolet,symmetric_40,PlainStack,0.9502,0.932,1.92
isolet,symmetric_40,DAS,0.9484,0.9223,2.75
isolet,symmetric_40,CL_XGB,0.9448,0.9236,2.24
isolet,symmetric_40,GCE_XGB,0.944,0.8912,5.59
isolet,asymmetric_40,RF,0.9354,0.7506,19.76
isolet,asymmetric_40,XGB,0.9439,0.6769,28.29
isolet,asymmetric_40,ET,0.9444,0.7635,19.16
isolet,asymmetric_40,Voting,0.9482,0.7153,24.56
isolet,asymmetric_40,PlainStack,0.9502,0.7104,25.24
isolet,asymmetric_40,DAS,0.9484,0.6953,26.69
isolet,asymmetric_40,CL_XGB,0.9448,0.7936,16.0
isolet,asymmetric_40,GCE_XGB,0.944,0.6687,29.16
isolet,pairflip_40,RF,0.9354,0.8729,6.68
isolet,pairflip_40,XGB,0.9439,0.875,7.3
isolet,pairflip_40,ET,0.9444,0.8839,6.41
isolet,pairflip_40,Voting,0.9482,0.883,6.88
isolet,pairflip_40,PlainStack,0.9502,0.8678,8.67
isolet,pairflip_40,DAS,0.9484,0.8726,7.99
isolet,pairflip_40,CL_XGB,0.9448,0.8872,6.1
isolet,pairflip_40,GCE_XGB,0.944,0.8739,7.43
pendigits,symmetric_40,RF,0.991,0.9643,2.69
pendigits,symmetric_40,XGB,0.9908,0.9276,6.38
pendigits,symmetric_40,ET,0.9928,0.9496,4.35
pendigits,symmetric_40,Voting,0.9923,0.9532,3.94
pendigits,symmetric_40,PlainStack,0.9923,0.9477,4.49
pendigits,symmetric_40,DAS,0.9922,0.9454,4.72
pendigits,symmetric_40,CL_XGB,0.9898,0.9812,0.87
pendigits,symmetric_40,GCE_XGB,0.9914,0.911,8.11
pendigits,asymmetric_40,RF,0.991,0.74,25.33
pendigits,asymmetric_40,XGB,0.9908,0.6725,32.13
pendigits,asymmetric_40,ET,0.9928,0.7424,25.22
pendigits,asymmetric_40,Voting,0.9923,0.7047,28.98
pendigits,asymmetric_40,PlainStack,0.9923,0.8595,13.38
pendigits,asymmetric_40,DAS,0.9922,0.8313,16.22
pendigits,asymmetric_40,CL_XGB,0.9898,0.8251,16.64
pendigits,asymmetric_40,GCE_XGB,0.9914,0.6724,32.18
pendigits,pairflip_40,RF,0.991,0.8423,15.01
pendigits,pairflip_40,XGB,0.9908,0.8055,18.7
pendigits,pairflip_40,ET,0.9928,0.8399,15.4
pendigits,pairflip_40,Voting,0.9923,0.8222,17.14
pendigits,pairflip_40,PlainStack,0.9923,0.8415,15.2
pendigits,pairflip_40,DAS,0.9922,0.8216,17.19
pendigits,pairflip_40,CL_XGB,0.9898,0.8894,10.14
pendigits,pairflip_40,GCE_XGB,0.9914,0.8004,19.27
satimage,symmetric_40,RF,0.8904,0.8664,2.7
satimage,symmetric_40,XGB,0.898,0.8176,8.95
satimage,symmetric_40,ET,0.8932,0.8673,2.9
satimage,symmetric_40,Voting,0.8984,0.8592,4.36
satimage,symmetric_40,PlainStack,0.8998,0.8618,4.22
satimage,symmetric_40,DAS,0.8981,0.8532,5.0
satimage,symmetric_40,CL_XGB,0.8902,0.8679,2.51
satimage,symmetric_40,GCE_XGB,0.9021,0.798,11.54
satimage,asymmetric_40,RF,0.8904,0.7167,19.51
satimage,asymmetric_40,XGB,0.898,0.6379,28.96
satimage,asymmetric_40,ET,0.8932,0.7251,18.82
satimage,asymmetric_40,Voting,0.8984,0.6805,24.25
satimage,asymmetric_40,PlainStack,0.8998,0.7465,17.04
satimage,asymmetric_40,DAS,0.8981,0.7356,18.09
satimage,asymmetric_40,CL_XGB,0.8902,0.757,14.96
satimage,asymmetric_40,GCE_XGB,0.9021,0.6439,28.62
satimage,pairflip_40,RF,0.8904,0.7685,13.69
satimage,pairflip_40,XGB,0.898,0.7378,17.84
satimage,pairflip_40,ET,0.8932,0.7727,13.49
satimage,pairflip_40,Voting,0.8984,0.7557,15.88
satimage,pairflip_40,PlainStack,0.8998,0.7842,12.85
satimage,pairflip_40,DAS,0.8981,0.7742,13.8
satimage,pairflip_40,CL_XGB,0.8902,0.7905,11.2
satimage,pairflip_40,GCE_XGB,0.9021,0.7328,18.77
shuttle,symmetric_40,RF,0.9064,0.4768,47.4
shuttle,symmetric_40,XGB,0.9407,0.7891,16.12
shuttle,symmetric_40,ET,0.8775,0.4543,48.23
shuttle,symmetric_40,Voting,0.9102,0.5897,35.21
shuttle,symmetric_40,PlainStack,0.9454,0.7319,22.58
shuttle,symmetric_40,DAS,0.945,0.7294,22.81
shuttle,symmetric_40,CL_XGB,0.9436,0.8025,14.95
shuttle,symmetric_40,GCE_XGB,0.8894,0.7865,11.57
shuttle,asymmetric_40,RF,0.9064,0.5131,43.39
shuttle,asymmetric_40,XGB,0.9407,0.6513,30.76
shuttle,asymmetric_40,ET,0.8775,0.5103,41.85
shuttle,asymmetric_40,Voting,0.9102,0.5416,40.5
shuttle,asymmetric_40,PlainStack,0.9454,0.8226,12.99
shuttle,asymmetric_40,DAS,0.945,0.8049,14.83
shuttle,asymmetric_40,CL_XGB,0.9436,0.644,31.75
shuttle,asymmetric_40,GCE_XGB,0.8894,0.7111,20.05
shuttle,pairflip_40,RF,0.9064,0.4948,45.41
shuttle,pairflip_40,XGB,0.9407,0.6569,30.17
shuttle,pairflip_40,ET,0.8775,0.4865,44.56
shuttle,pairflip_40,Voting,0.9102,0.5246,42.36
shuttle,pairflip_40,PlainStack,0.9454,0.6349,32.84
shuttle,pairflip_40,DAS,0.945,0.6627,29.87
shuttle,pairflip_40,CL_XGB,0.9436,0.6414,32.03
shuttle,pairflip_40,GCE_XGB,0.8894,0.7173,19.35
